"","NVC_Class","NCells","State"
"435",7967,7374605,"Idaho"
"436",7968,14957085,"Idaho"
"437",9307,2396085,"Idaho"
"438",9308,5911638,"Idaho"
"439",9309,2808018,"Idaho"
"440",9316,245175,"Idaho"
"441",9327,134229,"Idaho"
"442",9328,2926890,"Idaho"
"443",9329,607715,"Idaho"
"444",9336,3479715,"Idaho"
"445",9816,443755,"Idaho"
"446",9827,20820,"Idaho"
"447",9828,4734805,"Idaho"
"448",9829,609122,"Idaho"
"449",-9999,73306027,"Montana"
"450",6039,50,"Montana"
"451",6040,1228085,"Montana"
"452",6059,19490819,"Montana"
"453",6060,1353125,"Montana"
"454",6061,18236655,"Montana"
"455",6062,13595359,"Montana"
"456",6063,491102,"Montana"
"457",6064,6652906,"Montana"
"458",6065,18220320,"Montana"
"459",6068,5585532,"Montana"
"460",6069,23244753,"Montana"
"461",6070,10826742,"Montana"
"462",6071,7844435,"Montana"
"463",6072,1171840,"Montana"
"464",6073,135298,"Montana"
"465",6075,9798,"Montana"
"466",6078,1029,"Montana"
"467",6082,301384,"Montana"
"468",6100,1285807,"Montana"
"469",6117,935767,"Montana"
"470",6118,26532,"Montana"
"471",6144,4907326,"Montana"
"472",6145,8722916,"Montana"
"473",6146,3043181,"Montana"
"474",6147,4342801,"Montana"
"475",6149,4715200,"Montana"
"476",6151,8551,"Montana"
"477",6153,76544,"Montana"
"478",6156,3182048,"Montana"
"479",6157,101778126,"Montana"
"480",6159,348,"Montana"
"481",6160,1112,"Montana"
"482",6161,254962,"Montana"
"483",6181,1917847,"Montana"
"484",6234,48106,"Montana"
"485",6237,100435,"Montana"
"486",6238,289726,"Montana"
"487",6239,611020,"Montana"
"488",6240,1610912,"Montana"
"489",6241,18321,"Montana"
"490",6242,52193,"Montana"
"491",6243,594183,"Montana"
"492",6252,28152,"Montana"
"493",6258,14507,"Montana"
"494",6259,5895,"Montana"
"495",6281,27452,"Montana"
"496",6282,93564,"Montana"
"497",6285,1750410,"Montana"
"498",6286,19545041,"Montana"
"499",6287,37823894,"Montana"
"500",6288,29202357,"Montana"
"501",6290,1843094,"Montana"
"502",6291,3,"Montana"
"503",6293,410235,"Montana"
"504",6294,645143,"Montana"
"505",6313,5221681,"Montana"
"506",6317,1769503,"Montana"
"507",6318,370998,"Montana"
"508",6320,363877,"Montana"
"509",6322,2754961,"Montana"
"510",6330,1654574,"Montana"
"511",6331,18628,"Montana"
"512",6557,16519404,"Montana"
"513",6637,7852270,"Montana"
"514",6641,46710,"Montana"
"515",7191,192051,"Montana"
"516",7192,163596,"Montana"
"517",7193,237765,"Montana"
"518",7195,1852000,"Montana"
"519",7196,1322999,"Montana"
"520",7197,704292,"Montana"
"521",7198,5603,"Montana"
"522",7199,5822,"Montana"
"523",7200,18195,"Montana"
"524",7292,5280417,"Montana"
"525",7295,180995,"Montana"
"526",7296,711692,"Montana"
"527",7297,231605,"Montana"
"528",7298,50783,"Montana"
"529",7299,3551842,"Montana"
"530",7735,106350,"Montana"
"531",7900,185056,"Montana"
"532",7901,162587,"Montana"
"533",7902,79061,"Montana"
"534",7903,854036,"Montana"
"535",7904,779645,"Montana"
"536",7920,2889,"Montana"
"537",7921,112480,"Montana"
"538",7922,1,"Montana"
"539",7923,135143,"Montana"
"540",7924,343652,"Montana"
"541",7940,2696,"Montana"
"542",7941,5,"Montana"
"543",7942,31510,"Montana"
"544",7943,28577,"Montana"
"545",7944,47824,"Montana"
"546",7960,207,"Montana"
"547",7963,6949,"Montana"
"548",7964,7004605,"Montana"
"549",7965,19689880,"Montana"
"550",7966,14582245,"Montana"
"551",7967,9263384,"Montana"
"552",7968,25143779,"Montana"
"553",9307,12435,"Montana"
"554",9308,36315,"Montana"
"555",9309,177547,"Montana"
"556",9316,2111177,"Montana"
"557",9327,34948,"Montana"
"558",9328,391828,"Montana"
"559",9329,73189,"Montana"
"560",9336,216821,"Montana"
"561",9816,6777122,"Montana"
"562",9827,42353,"Montana"
"563",9828,2227773,"Montana"
"564",9829,174948,"Montana"
"565",-9999,9998607,"North Dakota"
"566",6035,99857,"North Dakota"
"567",6036,218882,"North Dakota"
"568",6037,21009,"North Dakota"
"569",6038,699584,"North Dakota"
"570",6039,974396,"North Dakota"
"571",6040,1677259,"North Dakota"
"572",6061,297,"North Dakota"
"573",6062,87731,"North Dakota"
"574",6100,484421,"North Dakota"
"575",6101,2,"North Dakota"
"576",6102,244573,"North Dakota"
"577",6106,33398,"North Dakota"
"578",6130,2438,"North Dakota"
