"","NVC_Class","CDL_Class","CDLYear","State","FIPS","Mismatch_NCells","Mismatch_PctTile"
"181",7973,143,2014,"AL","01049",9,7.48019618061183e-06
"182",7973,143,2015,"AL","13295",4,3.33310001633219e-06
"183",7973,143,2017,"AL","01049",1,8.30421322562215e-07
"184",7973,143,2017,"AL","01071",2,1.66084264512443e-06
"185",7973,152,2012,"AL","01043",1,8.30421322562215e-07
"186",7973,152,2012,"AL","01073",1,8.3113290895687e-07
"187",7973,152,2012,"AL","01117",2,1.66245511371193e-06
"188",7973,152,2012,"AL","13213",1,8.35706740476286e-07
"189",7973,152,2012,"AL","13295",25,2.08318751020762e-05
"190",7973,152,2013,"AL","13213",3,2.49982501224914e-06
"191",7973,152,2013,"AL","13313",5,4.16637502041524e-06
"192",7973,152,2014,"AL","01007",1,8.3113290895687e-07
"193",7973,152,2014,"AL","01019",6,4.98679745374122e-06
"194",7973,152,2014,"AL","01049",13,1.08025930572553e-05
"195",7973,152,2014,"AL","01051",1,8.3113290895687e-07
"196",7973,152,2014,"AL","01071",1,8.30421322562215e-07
"197",7973,152,2014,"AL","01073",1,8.30421322562215e-07
"198",7973,152,2014,"AL","13233",1,8.3113290895687e-07
"199",7973,152,2015,"AL","01043",14,1.1625898515871e-05
"200",7973,152,2015,"AL","01073",1,8.31939834111197e-07
"201",7973,152,2015,"AL","01077",3,2.49982501224914e-06
"202",7973,152,2015,"AL","01117",9,7.48104801170368e-06
"203",7973,152,2015,"AL","01127",5,4.15210661281108e-06
"204",7973,152,2015,"AL","13295",9,7.49947503674743e-06
"205",7973,152,2016,"AL","01049",24,1.99471898149649e-05
"206",7973,152,2016,"AL","01077",1,8.33275004083048e-07
"207",7973,152,2017,"AL","01049",15,1.24563198384332e-05
"208",7973,152,2017,"AL","01071",2,1.66245511371193e-06
"209",7973,152,2017,"AL","01073",16,1.32974149569153e-05
"210",7973,152,2017,"AL","01117",7,5.81294925793551e-06
"211",7973,190,2013,"AL","13313",2,1.6665500081661e-06
"212",7973,190,2014,"AL","01019",2,1.66226581791374e-06
"213",7973,190,2016,"AL","01049",1,8.3113290895687e-07
"214",7973,195,2015,"AL","13295",1,8.33275004083048e-07
"215",7974,67,2012,"AL","13213",1,8.35706740476286e-07
"216",7974,67,2013,"AL","01007",1,8.3113290895687e-07
"217",7974,67,2013,"AL","01079",3,2.49126396768665e-06
"218",7974,67,2014,"AL","01049",1,8.30421322562215e-07
"219",7974,67,2014,"AL","13199",12,1.00027007291969e-05
"220",7974,67,2017,"AL","13045",3,2.50067518229922e-06
"221",7974,67,2017,"AL","13199",1,8.32844731091093e-07
"222",7974,68,2014,"AL","13077",1,8.32844731091093e-07
"223",7974,69,2012,"AL","01117",2,1.66245511371193e-06
"224",7974,70,2014,"AL","01049",1,8.3113290895687e-07
"225",7974,74,2014,"AL","01017",1,8.3113290895687e-07
"226",7974,74,2014,"AL","13145",1,8.3355839409974e-07
"227",7974,74,2014,"AL","13199",12,9.9998460771623e-06
"228",7974,74,2015,"AL","01071",2,1.6665500081661e-06
"229",7974,74,2015,"AL","13149",1,8.30421322562215e-07
"230",7974,111,2012,"AL","01017",5,4.15566454478435e-06
"231",7974,111,2012,"AL","01027",1,8.30421322562215e-07
"232",7974,111,2012,"AL","01033",21,1.74388477738065e-05
"233",7974,111,2012,"AL","01037",3,2.49339872687061e-06
