"","NVC_Class","NCells","State"
"417",6208,5,"MD"
"418",6212,52,"MD"
"419",6213,186,"MD"
"420",6220,23266,"MD"
"421",6222,232,"MD"
"422",6227,4,"MD"
"423",6228,918,"MD"
"424",6230,5514,"MD"
"425",6231,121,"MD"
"426",6232,149,"MD"
"427",6253,72429,"MD"
"428",6254,435437,"MD"
"429",6255,39817,"MD"
"430",6256,1609,"MD"
"431",6305,37,"MD"
"432",6356,2294,"MD"
"433",6357,3001,"MD"
"434",6414,1,"MD"
"435",6504,600,"MD"
"436",6505,14091,"MD"
"437",6594,8036,"MD"
"438",7191,40670,"MD"
"439",7192,6783,"MD"
"440",7193,18228,"MD"
"441",7195,452,"MD"
"442",7196,107,"MD"
"443",7197,90,"MD"
"444",7198,1013,"MD"
"445",7199,64,"MD"
"446",7200,212,"MD"
"447",7292,7915641,"MD"
"448",7295,19712,"MD"
"449",7296,1040935,"MD"
"450",7297,503617,"MD"
"451",7298,206685,"MD"
"452",7299,1110641,"MD"
"453",7905,250736,"MD"
"454",7906,282163,"MD"
"455",7907,505538,"MD"
"456",7908,1135894,"MD"
"457",7909,196515,"MD"
"458",7930,563053,"MD"
"459",7931,20161,"MD"
"460",7932,1076235,"MD"
"461",7933,14998,"MD"
"462",7934,273739,"MD"
"463",7935,466255,"MD"
"464",7936,5702,"MD"
"465",7937,349417,"MD"
"466",7938,2629,"MD"
"467",7939,40125,"MD"
"468",7951,3707,"MD"
"469",7952,91175,"MD"
"470",7953,27,"MD"
"471",7954,43768,"MD"
"472",7957,23188,"MD"
"473",7958,24,"MD"
"474",7959,1023,"MD"
"475",7970,8079,"MD"
"476",7971,330,"MD"
"477",7972,10,"MD"
"478",7973,466388,"MD"
"479",7974,3404527,"MD"
"480",7975,1302268,"MD"
"481",7976,273233,"MD"
"482",7977,1640328,"MD"
"483",7978,66279,"MD"
"484",9312,125681,"MD"
"485",9314,18791,"MD"
"486",9315,1082388,"MD"
"487",9317,13535,"MD"
"488",9318,7119,"MD"
"489",9319,2850,"MD"
"490",9320,41458,"MD"
"491",9321,756921,"MD"
"492",9322,223044,"MD"
"493",9323,6281,"MD"
"494",9324,222820,"MD"
"495",9817,287250,"MD"
"496",9823,185312,"MD"
"497",NA,58705365,"MD"
"498",-9999,21860,"RI"
"499",6029,61060,"RI"
"500",6031,783097,"RI"
"501",6032,53811,"RI"
"502",6036,269471,"RI"
"503",6047,130485,"RI"
"504",6103,29357,"RI"
"505",6104,38972,"RI"
"506",6105,131510,"RI"
"507",6106,2265,"RI"
"508",6189,160,"RI"
"509",6190,4465,"RI"
"510",6194,1156,"RI"
"511",6208,4771,"RI"
"512",6209,1075,"RI"
"513",6213,2286,"RI"
"514",6220,839,"RI"
"515",6228,2390,"RI"
"516",6230,11030,"RI"
"517",6233,278,"RI"
"518",6253,1671,"RI"
"519",6292,28,"RI"
"520",6298,3155,"RI"
"521",6503,684,"RI"
"522",6505,12,"RI"
"523",6590,651,"RI"
"524",6593,12,"RI"
"525",6594,5520,"RI"
"526",6613,35678,"RI"
"527",6630,12,"RI"
"528",6692,454,"RI"
"529",7191,4275,"RI"
"530",7192,624,"RI"
"531",7193,1600,"RI"
"532",7198,42,"RI"
"533",7199,9,"RI"
"534",7200,9,"RI"
"535",7292,1424236,"RI"
"536",7295,4742,"RI"
"537",7296,171892,"RI"
"538",7297,181829,"RI"
"539",7298,69238,"RI"
"540",7299,370606,"RI"
"541",7905,20436,"RI"
"542",7906,14706,"RI"
"543",7907,49328,"RI"
"544",7908,56612,"RI"
"545",7909,11108,"RI"
"546",7930,144707,"RI"
"547",7931,12637,"RI"
"548",7932,56549,"RI"
"549",7933,7281,"RI"
"550",7934,32307,"RI"
"551",7952,61642,"RI"
"552",7953,909,"RI"
"553",7954,7029,"RI"
"554",7970,771,"RI"
"555",7971,591,"RI"
"556",7974,32466,"RI"
"557",7975,8164,"RI"
"558",7976,3266,"RI"
"559",7977,45281,"RI"
"560",9312,27259,"RI"
"561",9314,16,"RI"
"562",9315,11806,"RI"
"563",9317,1146,"RI"
"564",9318,134,"RI"
"565",9817,12579,"RI"
"566",NA,4060838,"RI"
"567",-9999,84,"ID"
"568",6059,9932369,"ID"
"569",6060,3505920,"ID"
"570",6061,6656266,"ID"
"571",6063,50663,"ID"
"572",6064,11717382,"ID"
"573",6065,17616469,"ID"
"574",6067,11058,"ID"
"575",6068,1638129,"ID"
"576",6069,8311165,"ID"
"577",6070,6708201,"ID"
"578",6071,4544079,"ID"
"579",6072,4114214,"ID"
"580",6073,9264,"ID"
"581",6074,259168,"ID"
"582",6075,2946,"ID"
"583",6077,317154,"ID"
"584",6078,1061203,"ID"
"585",6079,4673,"ID"
"586",6080,1016789,"ID"
"587",6081,130797,"ID"
"588",6082,206803,"ID"
"589",6117,796179,"ID"
"590",6118,44160,"ID"
"591",6144,2548465,"ID"
"592",6145,6687057,"ID"
"593",6146,1268119,"ID"
"594",6147,1895886,"ID"
"595",6149,2866803,"ID"
"596",6151,32961,"ID"
"597",6152,65850,"ID"
"598",6153,81762,"ID"
"599",6157,14,"ID"
"600",6181,2352619,"ID"
"601",6183,1061,"ID"
"602",6239,528652,"ID"
"603",6240,1008850,"ID"
"604",6241,11233,"ID"
"605",6242,477134,"ID"
"606",6243,686880,"ID"
"607",6258,71176,"ID"
"608",6259,175067,"ID"
"609",6281,843726,"ID"
"610",6282,4565980,"ID"
"611",6284,295951,"ID"
"612",6285,10239707,"ID"
"613",6286,15256652,"ID"
"614",6287,11552280,"ID"
"615",6288,33167531,"ID"
"616",6290,340,"ID"
"617",6291,803677,"ID"
"618",6293,270364,"ID"
"619",6294,236614,"ID"
"620",6313,3830680,"ID"
"621",6320,2924860,"ID"
"622",6322,1414335,"ID"
"623",6330,1084023,"ID"
"624",6331,10830,"ID"
"625",6480,28528,"ID"
"626",6482,336463,"ID"
"627",6641,20794,"ID"
"628",6659,5149,"ID"
"629",6684,94916,"ID"
"630",6689,689,"ID"
"631",7191,492013,"ID"
"632",7192,233438,"ID"
"633",7193,240260,"ID"
"634",7195,2151735,"ID"
"635",7196,1330393,"ID"
"636",7197,630746,"ID"
"637",7198,4436,"ID"
"638",7199,7424,"ID"
"639",7200,10974,"ID"
"640",7292,2756159,"ID"
"641",7295,30459,"ID"
"642",7296,564212,"ID"
"643",7297,224446,"ID"
"644",7298,41647,"ID"
"645",7299,2107106,"ID"
"646",7735,90960,"ID"
"647",7900,220178,"ID"
"648",7901,241169,"ID"
"649",7902,31489,"ID"
"650",7903,401943,"ID"
"651",7904,286133,"ID"
"652",7920,7367,"ID"
"653",7921,146743,"ID"
"654",7922,95,"ID"
"655",7923,267529,"ID"
"656",7924,429111,"ID"
"657",7941,122,"ID"
"658",7942,105639,"ID"
"659",7943,51652,"ID"
"660",7944,44004,"ID"
"661",7960,18826,"ID"
"662",7961,881,"ID"
"663",7963,1537,"ID"
"664",7964,5635855,"ID"
"665",7965,10499036,"ID"
"666",7966,2310265,"ID"
"667",7967,2179402,"ID"
"668",7968,5515714,"ID"
"669",9307,1846977,"ID"
"670",9308,4198666,"ID"
"671",9309,1577912,"ID"
"672",9327,128628,"ID"
"673",9328,1734962,"ID"
"674",9329,388104,"ID"
"675",9336,2252427,"ID"
"676",9827,3239,"ID"
"677",9828,2342660,"ID"
"678",9829,307044,"ID"
"679",NA,257190940,"ID"
