"layer","Class","NCells","label","State","County"
1,6103,6234,NA,"AL","Bibb County"
1,6112,17624,NA,"AL","Bibb County"
1,6113,53222,NA,"AL","Bibb County"
1,6176,70,NA,"AL","Bibb County"
1,6196,69,NA,"AL","Bibb County"
1,6199,2,NA,"AL","Bibb County"
1,6212,10,NA,"AL","Bibb County"
1,6222,24,NA,"AL","Bibb County"
1,6227,9,NA,"AL","Bibb County"
1,6228,19,NA,"AL","Bibb County"
1,6230,22,NA,"AL","Bibb County"
1,6305,14,NA,"AL","Bibb County"
1,6310,2,NA,"AL","Bibb County"
1,6356,26914,NA,"AL","Bibb County"
1,6357,16971,NA,"AL","Bibb County"
1,6414,706,NA,"AL","Bibb County"
1,6415,8,NA,"AL","Bibb County"
1,6513,321,NA,"AL","Bibb County"
1,7191,55459,NA,"AL","Bibb County"
1,7192,7427,NA,"AL","Bibb County"
1,7193,40567,NA,"AL","Bibb County"
1,7195,5077,NA,"AL","Bibb County"
1,7196,1707,NA,"AL","Bibb County"
1,7197,367,NA,"AL","Bibb County"
1,7198,1445,NA,"AL","Bibb County"
1,7199,159,NA,"AL","Bibb County"
1,7200,10162,NA,"AL","Bibb County"
1,7292,11788,NA,"AL","Bibb County"
1,7295,1800,NA,"AL","Bibb County"
1,7296,5958,NA,"AL","Bibb County"
1,7297,2506,NA,"AL","Bibb County"
1,7298,508,NA,"AL","Bibb County"
1,7299,49164,NA,"AL","Bibb County"
1,7905,821,NA,"AL","Bibb County"
1,7906,6877,NA,"AL","Bibb County"
1,7907,4112,NA,"AL","Bibb County"
1,7908,4202,NA,"AL","Bibb County"
1,7909,3243,NA,"AL","Bibb County"
1,7915,2497,NA,"AL","Bibb County"
1,7916,8406,NA,"AL","Bibb County"
1,7917,12081,NA,"AL","Bibb County"
1,7918,3626,NA,"AL","Bibb County"
1,7919,3793,NA,"AL","Bibb County"
1,7930,1,NA,"AL","Bibb County"
1,7931,4,NA,"AL","Bibb County"
1,7932,93,NA,"AL","Bibb County"
1,7934,38,NA,"AL","Bibb County"
1,7935,2205,NA,"AL","Bibb County"
1,7936,4382,NA,"AL","Bibb County"
1,7937,75274,NA,"AL","Bibb County"
1,7938,868,NA,"AL","Bibb County"
1,7939,10783,NA,"AL","Bibb County"
1,7952,1,NA,"AL","Bibb County"
1,7954,13,NA,"AL","Bibb County"
1,7957,2128,NA,"AL","Bibb County"
1,7959,6,NA,"AL","Bibb County"
1,7973,11,NA,"AL","Bibb County"
1,7974,1778,NA,"AL","Bibb County"
1,7975,16,NA,"AL","Bibb County"
1,7976,76,NA,"AL","Bibb County"
1,7977,18586,NA,"AL","Bibb County"
1,7990,7,NA,"AL","Bibb County"
1,7993,278,NA,"AL","Bibb County"
1,7994,900,NA,"AL","Bibb County"
1,7995,28,NA,"AL","Bibb County"
1,7996,1829,NA,"AL","Bibb County"
1,7997,40200,NA,"AL","Bibb County"
1,7998,5,NA,"AL","Bibb County"
1,7999,1,NA,"AL","Bibb County"
1,9312,5,NA,"AL","Bibb County"
1,9319,530,NA,"AL","Bibb County"
1,9320,2725,NA,"AL","Bibb County"
1,9321,348146,NA,"AL","Bibb County"
1,9322,654410,NA,"AL","Bibb County"
1,9323,1860,NA,"AL","Bibb County"
1,9324,36,NA,"AL","Bibb County"
1,9823,39622,NA,"AL","Bibb County"
1,6028,458982,NA,"AL","Blount County"
1,6033,64,NA,"AL","Blount County"
1,6034,238421,NA,"AL","Blount County"
1,6053,58939,NA,"AL","Blount County"
1,6055,96409,NA,"AL","Blount County"
1,6056,10120,NA,"AL","Blount County"
1,6103,18808,NA,"AL","Blount County"
1,6176,47,NA,"AL","Blount County"
1,6196,533,NA,"AL","Blount County"
1,6199,46,NA,"AL","Blount County"
1,6212,3,NA,"AL","Blount County"
1,6227,46,NA,"AL","Blount County"
1,6228,3,NA,"AL","Blount County"
1,6230,1,NA,"AL","Blount County"
1,6356,78713,NA,"AL","Blount County"
1,6357,47119,NA,"AL","Blount County"
1,7191,15142,NA,"AL","Blount County"
1,7192,4148,NA,"AL","Blount County"
1,7193,22542,NA,"AL","Blount County"
1,7195,3,NA,"AL","Blount County"
1,7196,1,NA,"AL","Blount County"
1,7198,82,NA,"AL","Blount County"
1,7199,40,NA,"AL","Blount County"
1,7200,4621,NA,"AL","Blount County"
1,7292,25878,NA,"AL","Blount County"
1,7295,806,NA,"AL","Blount County"
1,7296,15546,NA,"AL","Blount County"
1,7297,5369,NA,"AL","Blount County"
1,7298,1343,NA,"AL","Blount County"
1,7299,68613,NA,"AL","Blount County"
1,7905,5434,NA,"AL","Blount County"
1,7906,9194,NA,"AL","Blount County"
1,7907,12233,NA,"AL","Blount County"
1,7908,27062,NA,"AL","Blount County"
1,7909,7422,NA,"AL","Blount County"
1,7935,23586,NA,"AL","Blount County"
1,7936,13843,NA,"AL","Blount County"
1,7937,16931,NA,"AL","Blount County"
1,7938,1850,NA,"AL","Blount County"
1,7939,34050,NA,"AL","Blount County"
1,7954,141,NA,"AL","Blount County"
1,7957,3932,NA,"AL","Blount County"
1,7958,7,NA,"AL","Blount County"
1,7959,37,NA,"AL","Blount County"
1,7970,42,NA,"AL","Blount County"
1,7973,13,NA,"AL","Blount County"
1,7974,39505,NA,"AL","Blount County"
1,7975,1251,NA,"AL","Blount County"
1,7976,1118,NA,"AL","Blount County"
1,7977,361581,NA,"AL","Blount County"
1,7978,54,NA,"AL","Blount County"
1,9312,14,NA,"AL","Blount County"
1,9320,3643,NA,"AL","Blount County"
1,9321,14073,NA,"AL","Blount County"
1,9322,116131,NA,"AL","Blount County"
1,9323,1244,NA,"AL","Blount County"
1,9324,184,NA,"AL","Blount County"
1,9823,17359,NA,"AL","Blount County"
1,6006,1238,NA,"AL","Bullock County"
1,6012,6068,NA,"AL","Bullock County"
1,6014,358,NA,"AL","Bullock County"
1,6015,5327,NA,"AL","Bullock County"
1,6108,74,NA,"AL","Bullock County"
1,6109,34,NA,"AL","Bullock County"
1,6111,17706,NA,"AL","Bullock County"
1,6112,11,NA,"AL","Bullock County"
1,6113,157163,NA,"AL","Bullock County"
1,6186,12,NA,"AL","Bullock County"
1,6222,100,NA,"AL","Bullock County"
1,6414,1570,NA,"AL","Bullock County"
1,6415,9,NA,"AL","Bullock County"
1,6511,2,NA,"AL","Bullock County"
1,6586,23,NA,"AL","Bullock County"
1,7191,26239,NA,"AL","Bullock County"
1,7192,4751,NA,"AL","Bullock County"
1,7193,2417,NA,"AL","Bullock County"
1,7195,2108,NA,"AL","Bullock County"
1,7196,221,NA,"AL","Bullock County"
1,7197,244,NA,"AL","Bullock County"
1,7198,311,NA,"AL","Bullock County"
1,7199,78,NA,"AL","Bullock County"
1,7200,393,NA,"AL","Bullock County"
