"","NVC_Class","CDL_Class","CDLYear","State","FIPS","Mismatch_NCells","Mismatch_PctTile"
"148",7960,61,2019,"OR","41055",6,3.87900604349142e-06
"149",7960,61,2019,"OR","41065",649,0.000419579153704321
"150",7960,61,2019,"WA","53065",18,1.42092182290841e-05
"151",7960,61,2020,"WA","53001",11,8.6681334199096e-06
"152",7960,61,2020,"WA","53021",195,0.000153756214664937
"153",7960,61,2020,"WA","53071",437,0.000344597002873482
"154",7960,69,2012,"OR","53039",32,2.06880322319542e-05
"155",7960,69,2012,"OR","53077",22,1.42230221594685e-05
"156",7960,69,2014,"WA","53047",3,2.36676307281583e-06
"157",7960,69,2015,"WA","53037",5,3.94460512135972e-06
"158",7960,69,2015,"WA","53077",15793,0.0124594297363268
"159",7960,69,2016,"WA","53039",1,7.89461011283766e-07
"160",7960,69,2016,"WA","53059",132,0.000104208853489457
"161",7960,69,2019,"OR","41055",18,1.16370181304742e-05
"162",7960,69,2019,"OR","41065",5,3.23250503624285e-06
"163",7960,69,2020,"WA","53001",32,2.52163881306461e-05
"164",7960,69,2020,"WA","53021",106,8.35735136051367e-05
"165",7960,69,2020,"WA","53071",737,0.00058116245107038
"166",7960,69,2021,"CA","06109",1,1.00384270989347e-06
"167",7960,69,2021,"WA","53007",170,0.00013420837191824
"168",7960,111,2014,"WA","53047",2,1.57784204854389e-06
"169",7960,111,2015,"CA","06023",54,5.41673228603155e-05
"170",7960,111,2015,"CA","06107",5,5.01921354946736e-06
"171",7960,111,2015,"ID","16047",2,1.5183434872554e-06
"172",7960,111,2015,"ID","16053",3,2.27751523088311e-06
"173",7960,111,2015,"ID","16063",1,7.59171743627702e-07
"174",7960,111,2015,"ID","16083",33,2.50526675397142e-05
"175",7960,111,2015,"WA","53077",28,2.20897886796144e-05
"176",7960,111,2016,"WA","41027",9,7.1051491015539e-06
"177",7960,111,2019,"ID","16047",7,5.31420220539392e-06
"178",7960,111,2019,"ID","16083",1,7.59171743627702e-07
"179",7960,111,2020,"WA","53021",1,7.88012129082691e-07
"180",7960,111,2020,"WA","53071",4,3.15420597595864e-06
"181",7960,111,2021,"CA","06109",1,1.00384270989347e-06
"182",7960,111,2021,"WA","53007",25,1.97365252820942e-05
"183",7960,121,2012,"OR","41021",5,3.23250503624285e-06
"184",7960,121,2012,"OR","53039",18,1.16370181304742e-05
"185",7960,121,2014,"ID","53065",1,7.59171743627702e-07
"186",7960,121,2014,"TX","48191",1,4.53879077536163e-07
"187",7960,121,2014,"WA","53047",38,2.99789989223339e-05
"188",7960,121,2015,"WA","53037",17,1.34116574126231e-05
"189",7960,121,2015,"WA","53077",228,0.000179873993534003
"190",7960,121,2016,"WA","41027",352,0.000277972522766756
"191",7960,121,2018,"ID","53019",1,7.60861294985924e-07
"192",7960,121,2019,"ID","16047",1,7.59171743627702e-07
"193",7960,121,2019,"ID","16083",1,7.59171743627702e-07
"194",7960,121,2019,"OR","41055",2,1.29300201449714e-06
"195",7960,121,2019,"OR","41065",109,7.0468609790094e-05
"196",7960,121,2019,"WA","53065",1,7.89461011283766e-07
"197",7960,121,2020,"WA","53001",17,1.33962061944057e-05
"198",7960,121,2020,"WA","53021",96,7.5672357082938e-05
"199",7960,121,2020,"WA","53071",394,0.000310689288631926
"200",7960,121,2021,"CA","06109",12,1.20461125187217e-05
"201",7960,121,2021,"WA","53007",2602,0.00205417701137335
"202",7960,122,2014,"ID","53019",1,7.59171743627702e-07
"203",7960,122,2014,"ID","53065",5,3.79585871813851e-06
"204",7960,122,2015,"WA","53077",39,3.07679199466058e-05
"205",7960,122,2016,"WA","41027",19,1.50040879930689e-05
"206",7960,122,2019,"ID","16047",1,7.59171743627702e-07
